#{"t_start": 1737020819.9345298, "env_id": "None"}
r,l,t
3.359221,100,327.666686
3.157915,101,328.868521
3.050387,90,330.074236
3.462269,115,331.38708
3.85393,110,332.587983
3.307498,128,333.866571
3.922179,136,335.097737
4.452366,109,336.28035
4.22624,103,337.4733
3.502011,98,338.63445
3.413291,94,339.889148
3.903842,93,341.035786
4.937912,110,342.252522
3.599151,89,343.410396
4.270691,98,344.564293
4.141795,104,345.736155
4.257441,96,346.939159
5.842659,117,348.171295
3.487071,101,349.352946
3.908355,97,350.523701
5.047774,110,351.739958
3.575013,101,352.924074
3.269433,85,354.102644
3.529994,94,355.290756
3.834047,92,356.526591
4.109106,98,357.683421
3.83614,94,358.819406
3.720016,91,359.979593
21.60213,230,361.397071
2.927507,84,362.602709
3.859596,94,363.808077
3.407057,86,364.965224
3.219747,84,366.164119
56.972058,1205,369.579573
2.943057,83,370.720881
3.396379,90,371.879775
5.698653,114,373.088478
3.213868,84,374.345932
3.150677,84,375.48411
4.037222,94,376.707103
2.950078,87,377.907434
16.367512,295,379.452767
4.907104,105,380.620815
4.751493,107,381.81386
3.156777,92,382.980364
3.689196,93,384.148799
2.994633,91,385.27976
14.50714,322,386.897897
3.724086,102,388.136422
3.375044,90,389.29683
3.620796,89,390.469516
5.155251,110,391.679319
7.123589,137,393.007075
6.967122,140,394.26693
3.413956,96,395.405654
8.823196,158,396.691859
5.497902,134,397.926546
7.499325,154,399.262954
4.264366,103,400.445013
5.866026,175,401.755647
15.653311,354,403.522293
4.139914,103,404.682477
3.652782,95,405.849031
8.952059,149,407.095607
11.032315,194,408.453012
4.094492,106,409.636969
4.743121,106,410.880919
7.054693,127,412.099514
5.698189,117,413.283514
5.105646,106,414.486793
126.41551,2093,419.763232
17.72655,403,421.554778
13.394174,276,423.097554
6.134443,139,424.408715
20.032538,386,426.17436
5.216768,184,427.542289
272.163508,5074,438.958767
3.217492,340,440.609143
3.026241,80,441.75812
3.050961,81,442.897077
3.086196,82,444.039652
3.27121,85,445.170445
2.949472,81,446.299093
2.950869,80,447.445422
2.861264,420,449.278634
2.954103,78,450.403261
5.179942,113,451.58706
3.889283,214,452.984553
2.96679,78,454.125306
2.936665,82,455.287171
2.822184,79,456.484486
2.758162,79,457.678368
2.970701,79,458.804683
3.080986,80,459.987421
3.145542,86,461.15757
2.846547,79,462.329557
3.348914,86,463.504714
2.699584,77,464.639366
3.023844,78,465.824182
2.695728,79,466.950812
2.891291,80,468.09163
2.888109,79,469.234411
5.479839,174,470.558665
3.09133,79,471.71208
3.026793,78,472.826639
2.81992,79,473.943651
4.093223,99,475.120578
5.253955,122,476.344378
3.144152,81,477.516675
14.922653,276,479.040056
2.909317,81,480.184143
3.002572,79,481.356552
2.94425,78,482.483689
2.823876,80,483.627497
3.058086,81,484.797879
3.096352,82,485.919677
5.804123,121,487.176069
3.203665,88,488.328613
3.69147,86,489.485703
64.680102,889,492.242714
15.478876,264,493.744883
2.921946,78,494.895397
4.075749,92,496.058524
3.682534,90,497.207177
2.752215,76,498.356801
9.528251,186,499.688668
3.151037,84,500.825536
8.251533,139,501.59978
2.979642,79,502.742548
5.149204,106,504.000416
3.603361,89,505.133103
2.736543,76,506.234546
3.060491,80,507.346901
2.704995,78,508.542723
2.882659,78,509.733339
5.957616,118,510.96187
12.670347,237,512.43463
3.173608,80,513.580142
2.707267,80,514.696892
35.28489,540,516.745994
3.260411,86,517.871262
125.355393,1722,522.331036
4.268995,98,523.492785
18.067589,308,525.093368
348.58079,4965,536.021241
5.677473,131,537.242965
20.135487,323,538.833752
3.591103,90,539.988734
140.072581,2538,546.120545
6.680221,124,547.382565
3.310545,86,548.511661
21.884935,667,550.803022
2.813092,78,551.907543
4.12161,94,553.122265
3.238809,82,554.284107
46.49069,745,556.755997
28.128831,257,558.248568
122.952657,2439,564.174546
18.858433,285,565.717873
53.707309,838,568.44075
55.140991,883,571.260723
5.768003,115,572.510057
45.766107,734,574.974233
4.629267,100,576.138015
56.883265,1510,580.235535
7.986967,151,581.571358
4.466407,108,582.788107
6.182998,115,584.02127
49.226893,920,586.897975
9.15585,153,588.249057
4.657754,104,589.441674
5.109185,113,590.663684
20.412242,298,592.265625
54.080523,1025,595.400566
19.651653,292,597.023693
6.695081,122,598.282843
48.41432,658,600.595201
3.460984,89,601.741932
4.805229,102,602.99948
3.436687,90,604.129719
3.576478,90,605.404294
5.6301,120,606.688148
2.949548,80,607.842755
4.299097,98,609.031075
3.701667,90,610.236005
2.799959,78,611.3651
3.556599,93,612.554313
30.462452,744,615.083011
4.855021,114,616.33944
92.803937,1740,620.859952
3.333621,84,621.988457
7.809125,161,623.300681
3.088395,82,624.438502
59.599018,2386,630.460313
